Skill 1,Skill 2,Correlation
osx,virtualbox,0.996171
nosql,r,0.996161
cassandra,r,0.996055
hive,r,0.995636
linux-kernel,osx,0.995231
hbase,hive,0.995160
hive,pig,0.995003
hive,piglatin,0.995003
kvm,osx,0.994885
application_modernization,legacy,0.994877
legacy,modernization,0.994174
libvirt,xen,0.994094
qemu,xen,0.994094
virtualbox,xen,0.994094
osx,virtual-machine,0.993840
hadoop,mapreduce,0.993564
reporting,ssas,0.993505
hbase,mapreduce,0.993308
linux-kernel,xen,0.993127
devops,puppet,0.992652
azure,google-app-engine,0.992635
cordova,windows-mobile,0.992473
agile-project-management,kanban,0.992417
estimation,kanban,0.992417
extreme-programming,kanban,0.992417
greenhopper,kanban,0.992417
kanban,sprint,0.992417
kanban,tdd,0.992417
mapreduce,nosql,0.992371
alfresco,sharepoint,0.992334
sharepoint,workflow-activity,0.992334
sharepoint,workflow-foundation,0.992334
sharepoint,workflow-foundation-4,0.992334
mercurial,sharepoint,0.992231
cloud-hosting,google-app-engine,0.991911
devops,ruby,0.991523
continuous-integration,ruby,0.991436
continuous-integration,puppet,0.991317
agile-project-management,unit-testing,0.991255
estimation,unit-testing,0.991255
extreme-programming,unit-testing,0.991255
greenhopper,unit-testing,0.991255
sprint,unit-testing,0.991255
tdd,unit-testing,0.991255
hadoop,hdfs,0.991148
azure,hosting,0.991140
responsive-design,windows-mobile,0.990460
sencha-touch,windows-mobile,0.990460
air,windows-mobile,0.990267
mapreduce,r,0.990173
osx,xen,0.989971
hive,nosql,0.989938
linux-kernel,wpf,0.989895
libvirt,wpf,0.989837
virtualbox,wpf,0.989837
qemu,wpf,0.989837
cassandra,hive,0.989495
cassandra,mapreduce,0.989481
mapreduce,pig,0.988990
mapreduce,piglatin,0.988990
hadoop,hbase,0.988736
osx,wpf,0.988653
html5,windows-mobile,0.988484
flex,responsive-design,0.988364
flex,sencha-touch,0.988364
kvm,wpf,0.988160
hive,mapreduce,0.987896
reporting,ssis,0.987795
application_modernization,mainframe,0.987777
hadoop,nosql,0.987503
mainframe,modernization,0.987470
cloud-hosting,hosting,0.987420
virtual-machine,wpf,0.987036
hadoop,r,0.986891
pig,r,0.986594
piglatin,r,0.986594
hbase,pig,0.986022
hbase,piglatin,0.986022
flex,html5,0.985827
hbase,hdfs,0.985492
cassandra,hadoop,0.985076
puppet,ruby,0.985010
hdfs,nosql,0.984974
ubuntu,xen,0.984503
hdfs,pig,0.984462
hdfs,piglatin,0.984462
hadoop,hive,0.983861
hadoop,pig,0.983755
hadoop,piglatin,0.983755
air,phonegap,0.983252
kanban,unit-testing,0.983067
mongodb,postgresql,0.983025
ofbiz,open-source,0.982821
wpf,xen,0.982773
cordova,phonegap,0.982591
magento,open-source,0.982502
erp,open-source,0.982430
open-source,openerp,0.981872
dynamics-crm,sugarcrm,0.981566
dynamics-crm,vtiger,0.981566
dynamics-crm,workflow,0.981566
hdfs,r,0.981559
legacy,mainframe,0.981327
ofbiz,sap,0.981288
open-source,sap,0.981241
erp,sap,0.980992
html5,responsive-design,0.980983
html5,sencha-touch,0.980983
cassandra,hdfs,0.980897
deployment,ruby,0.980893
phonegap,windows-mobile,0.980760
jvm,linux-kernel,0.980590
openerp,sap,0.980444
cordova,flex,0.979662
hdfs,hive,0.978958
cordova,html5,0.978899
nosql,pig,0.978852
nosql,piglatin,0.978852
magento,sap,0.978420
ubuntu,virtual-machine,0.978097
air,responsive-design,0.977888
air,sencha-touch,0.977888
google-app-engine,hosting,0.977817
air,html5,0.977046
cassandra,pig,0.976304
cassandra,piglatin,0.976304
kvm,ubuntu,0.974641
air,flex,0.974308
agile-project-management,scrum,0.974065
estimation,scrum,0.974065
extreme-programming,scrum,0.974065
scrum,sprint,0.974065
greenhopper,scrum,0.974065
scrum,tdd,0.974065
cordova,responsive-design,0.971981
cordova,sencha-touch,0.971981
jvm,libvirt,0.971820
jvm,qemu,0.971820
jvm,virtualbox,0.971820
jira,unit-testing,0.971708
deployment,devops,0.971655
google-analytics,ssas,0.970566
ssas,statistics,0.970555
flurry,ssas,0.970499
jvm,kvm,0.970324
statistics,web-analytics,0.970249
google-analytics,web-analytics,0.970233
flurry,web-analytics,0.970198
continuous-integration,deployment,0.970145
jvm,virtual-machine,0.969797
flex,phonegap,0.969447
hyper-v,vmware,0.969322
phonegap,responsive-design,0.969098
phonegap,sencha-touch,0.969098
jquery,responsive-design,0.968976
jquery,sencha-touch,0.968976
cassandra,postgresql,0.968497
reporting-services,ssas,0.968376
reporting-services,web-analytics,0.967838
linux-kernel,ubuntu,0.967535
jvm,osx,0.967411
nosql,postgresql,0.967281
jvm,wpf,0.967014
deployment,puppet,0.966716
cloud-hosting,distributed-computing,0.966715
ssas,ssis,0.966655
html5,phonegap,0.966237
flex,jquery,0.966081
hosting,openstack,0.965878
azure,distributed-computing,0.965771
jvm,xen,0.965227
html5,jquery,0.964794
libvirt,ubuntu,0.964310
qemu,ubuntu,0.964310
ubuntu,virtualbox,0.964310
kanban,scrum,0.963911
jquery,windows-mobile,0.963241
scrum,unit-testing,0.963155
jvm,ubuntu,0.960476
olap,ssas,0.960410
osx,ubuntu,0.959469
hbase,postgresql,0.957980
distributed-computing,google-app-engine,0.956668
partner,passionate,0.954719
ubuntu,wpf,0.953641
distributed-computing,hosting,0.953317
postgresql,r,0.953114
jquery,phonegap,0.950942
olap,reporting,0.949500
cassandra,mongodb,0.948834
networking,puppet,0.948692
mercurial,version-control,0.946948
cloud_computing,networking,0.946098
version-control,workflow-activity,0.945734
version-control,workflow-foundation-4,0.945734
alfresco,version-control,0.945734
version-control,workflow-foundation,0.945734
reporting,statistics,0.945617
google-analytics,reporting,0.945580
flurry,reporting,0.945544
mongodb,nosql,0.943467
alfresco,git,0.943405
git,workflow-activity,0.943405
git,workflow-foundation,0.943405
git,workflow-foundation-4,0.943405
air,jquery,0.943308
git,mercurial,0.943083
reporting,reporting-services,0.942582
cordova,jquery,0.941762
ssas,web-analytics,0.939239
mapreduce,postgresql,0.938749
olap,statistics,0.938190
google-analytics,olap,0.938145
flurry,olap,0.938109
olap,reporting-services,0.934893
sharepoint,version-control,0.934877
hadoop,postgresql,0.934188
hive,postgresql,0.933970
hbase,mongodb,0.932987
networking,ruby,0.932393
development_experience,devops,0.932386
agile-project-management,jira,0.932044
estimation,jira,0.932044
extreme-programming,jira,0.932044
greenhopper,jira,0.932044
jira,sprint,0.932044
jira,tdd,0.932044
git,sharepoint,0.930003
continuous-integration,development_experience,0.929767
deployment,networking,0.929488
data-warehousing,statistics,0.929305
data-warehousing,google-analytics,0.929272
data-warehousing,flurry,0.929237
development_experience,ruby,0.928432
mongodb,r,0.928334
devops,networking,0.927497
hdfs,postgresql,0.927089
ability_manage,partner,0.926799
jira,tfs,0.926720
data-warehousing,reporting-services,0.926423
continuous-integration,networking,0.925480
mainframe,migration,0.925191
consultant,modernization,0.924642
consumer_insights,executive_level,0.923656
executive_level,experience_software_development_lifecycle,0.923656
azure,openstack,0.923306
jira,kanban,0.923132
deliver,partner,0.922563
development_experience,puppet,0.919809
asp.net,wcf,0.919312
ubuntu,virtualization,0.918264
olap,ssis,0.918249
cloud_computing,puppet,0.918248
reporting-services,sql-server,0.917751
driven,partner,0.916794
sql-server,web-analytics,0.915359
consultant,legacy,0.914544
google-analytics,sql-server,0.913648
reporting,web-analytics,0.913169
sql-server,statistics,0.913115
ability_manage,deliver,0.913099
flurry,sql-server,0.913034
application_modernization,consultant,0.912856
cloud-hosting,openstack,0.912802
ability_manage,driven,0.911250
cloud_computing,devops,0.911157
cloud_computing,continuous-integration,0.908791
cloud_computing,ruby,0.908669
git,version-control,0.907478
vmware,windows,0.907424
pig,postgresql,0.906001
piglatin,postgresql,0.906001
data-warehousing,web-analytics,0.905902
consultant,information_technology,0.905522
olap,web-analytics,0.905002
hive,mongodb,0.904962
deliver,driven,0.904456
google-app-engine,openstack,0.902252
application_modernization,migration,0.901772
jira,scrum,0.901303
migration,modernization,0.900524
consultant,mainframe,0.899541
automation,cloud,0.899205
mapreduce,mongodb,0.898025
cloud_computing,deployment,0.897930
deployment,development_experience,0.897256
data-warehousing,ssas,0.897186
hadoop,mongodb,0.896268
libvirt,vmware,0.895685
qemu,vmware,0.895685
virtualbox,vmware,0.895685
legacy,migration,0.894509
kvm,vmware,0.894477
linux-kernel,vmware,0.893736
ssis,statistics,0.893528
google-analytics,ssis,0.893478
virtual-machine,vmware,0.893452
flurry,ssis,0.893442
css,jquery,0.892961
devops,video,0.892246
reporting-services,ssis,0.891337
ability_manage,management_skills,0.890808
vmware,xen,0.889993
continuous-integration,video,0.889770
virtualization,xen,0.889706
osx,vmware,0.889628
creativity,life_cycle,0.886896
communication_skills,written_communication_skills,0.881856
driven,software_development_life_cycle,0.881269
puppet,video,0.880319
hdfs,mongodb,0.879573
business_requirements,deliver,0.879547
sql-server,ssas,0.879135
distributed-computing,openstack,0.879089
vmware,wpf,0.877287
virtual-machine,virtualization,0.875067
actionscript,android,0.874075
driven,executive_level,0.873971
android,ios,0.873262
cloud_computing,development_experience,0.873090
ruby,video,0.872445
deliver,passionate,0.871372
data-warehousing,reporting,0.870461
cloud_computing,linux,0.870284
kvm,virtualization,0.868699
encryption,php,0.868614
data-warehousing,sql-server,0.866265
development_experience,networking,0.864096
jvm,vmware,0.863418
computer-science,leader,0.863084
mongodb,pig,0.862801
mongodb,piglatin,0.862801
executive_level,partner,0.862731
ability_manage,software_development_life_cycle,0.862079
data-warehousing,olap,0.861740
hyper-v,windows,0.861692
ssis,web-analytics,0.860998
php,web-security,0.860640
cryptography,php,0.859512
php,xss,0.859512
ubuntu,vmware,0.858324
deployment,video,0.857435
ability_manage,executive_level,0.855193
communication_skills,engineer,0.854748
ability_manage,information_technology,0.854225
information_technology,management_skills,0.852166
tfs,version-control,0.851556
libvirt,virtualization,0.849840
qemu,virtualization,0.849840
virtualbox,virtualization,0.849840
hyper-v,performance,0.849657
linux-kernel,virtualization,0.848801
actionscript,ios,0.848397
linux,networking,0.848171
reporting,sql-server,0.846336
osx,virtualization,0.844975
actionscript,cordova,0.843848
olap,sql-server,0.835862
ability_manage,passionate,0.835614
consultant,software_development_life_cycle,0.835073
c#,wcf,0.833778
virtualization,wpf,0.833339
consultant,driven,0.831463
css,responsive-design,0.829448
css,sencha-touch,0.829448
experience_web_technologies,legacy,0.828559
application_modernization,experience_web_technologies,0.827649
deliver,software_development_life_cycle,0.827498
business_requirements,management_skills,0.826238
experience_web_technologies,modernization,0.825542
jvm,virtualization,0.823931
management_skills,software_development_life_cycle,0.822655
ability_manage,business_requirements,0.821805
oracle,sap,0.820829
deliver,management_skills,0.819808
performance,windows,0.819199
data-warehousing,ssis,0.818970
tfs,unit-testing,0.817096
driven,management_skills,0.815342
information_technology,software_development_life_cycle,0.815309
life_cycle,supply_chain,0.815250
actionscript,air,0.813581
css,windows-mobile,0.812668
css,flex,0.812615
puppet,software_development,0.812315
business_requirements,consultant,0.811417
driven,information_technology,0.811301
css,html5,0.810056
development_experience,video,0.809539
asp.net,encryption,0.809223
consultant,migration,0.809182
hyper-v,kvm,0.806101
hyper-v,libvirt,0.805990
hyper-v,qemu,0.805990
hyper-v,virtualbox,0.805990
performance,vmware,0.805987
hyper-v,virtual-machine,0.805582
open-source,oracle,0.804865
experience_web_technologies,mainframe,0.804535
hyper-v,linux-kernel,0.803678
hyper-v,xen,0.803580
business_requirements,information_technology,0.803547
mobile_applications,modernization,0.803473
application_modernization,mobile_applications,0.802604
.net,c#,0.801728
development_experience,software_development,0.801301
image-processing,objective-c,0.800594
puppet,written_communication_skills,0.799866
air,css,0.799595
hyper-v,osx,0.799358
asp.net,web-security,0.798849
video,written_communication_skills,0.798318
development_experience,written_communication_skills,0.798080
asp.net,cryptography,0.796983
asp.net,xss,0.796983
devops,written_communication_skills,0.796389
jvm,windows,0.796107
asp.net,c#,0.795801
actionscript,phonegap,0.795606
legacy,mobile_applications,0.795566
sql-server,ssis,0.793239
continuous-integration,written_communication_skills,0.792790
consumer_insights,partner,0.792177
experience_software_development_lifecycle,partner,0.792177
devops,software_development,0.791544
cordova,css,0.791381
business_requirements,software_development_life_cycle,0.790076
actionscript,windows-mobile,0.789957
ruby,written_communication_skills,0.789010
networking,video,0.787591
engineer,written_communication_skills,0.785980
continuous-integration,software_development,0.785274
hyper-v,wpf,0.785009
css,phonegap,0.783028
driven,passionate,0.781950
networking,software_development,0.781701
css,html,0.781303
linux,puppet,0.781035
cloud_computing,video,0.781020
asp.net,php,0.780619
apache,video,0.780291
consultant,deliver,0.779297
linux-kernel,windows,0.778429
experience_web_technologies,mobile_applications,0.777050
erp,oracle,0.776773
openerp,oracle,0.776529
hyper-v,ubuntu,0.776402
ofbiz,oracle,0.775719
windows,wpf,0.775643
hyper-v,jvm,0.773717
actionscript,html5,0.773243
marketing,written_communication_skills,0.772434
mainframe,mobile_applications,0.772368
svn,testing,0.771532
libvirt,windows,0.770996
qemu,windows,0.770996
virtualbox,windows,0.770996
virtualization,vmware,0.770607
magento,oracle,0.769403
osx,windows,0.769173
deployment,written_communication_skills,0.768769
actionscript,flex,0.767861
kvm,windows,0.767842
agile-project-management,project_management_skills,0.767708
extreme-programming,project_management_skills,0.767708
greenhopper,project_management_skills,0.767708
project_management_skills,sprint,0.767708
project_management_skills,tdd,0.767708
estimation,project_management_skills,0.767708
devops,linux,0.767533
kanban,project_management_skills,0.767528
management_skills,partner,0.767168
linux,ruby,0.766944
deployment,linux,0.766918
virtual-machine,windows,0.766735
ability_manage,consultant,0.766554
consultant,experience_web_technologies,0.764761
innovative,saas,0.764049
continuous-integration,linux,0.763762
consultant,management_skills,0.762313
project_management_skills,unit-testing,0.761544
windows,xen,0.761314
android,cordova,0.760055
ajax,html,0.758770
ruby,software_development,0.755692
air,android,0.754525
oracle,sql,0.754445
.net,wcf,0.752233
apache,mysql,0.751356
ubuntu,windows,0.751265
information_technology,legacy,0.750624
executive_level,information_technology,0.748319
ajax,web-applications,0.746421
deployment,software_development,0.744003
consumer_insights,passionate,0.743616
experience_software_development_lifecycle,passionate,0.743616
encryption,wcf,0.743468
ability_manage,consumer_insights,0.743403
ability_manage,experience_software_development_lifecycle,0.743403
engineer,leader,0.743264
consultant,mobile_applications,0.740897
executive_level,passionate,0.739859
ruby-on-rails,sql-server,0.739304
partner,software_development_life_cycle,0.738626
development_experience,linux,0.738466
project_management_skills,scrum,0.737847
computer-science,engineer,0.736320
information_technology,modernization,0.735890
agile-project-management,tfs,0.735787
extreme-programming,tfs,0.735787
estimation,tfs,0.735787
greenhopper,tfs,0.735787
sprint,tfs,0.735787
tdd,tfs,0.735787
business_requirements,experience_web_technologies,0.734857
deliver,information_technology,0.733071
networking,written_communication_skills,0.732253
css,javascript,0.730770
kanban,tfs,0.729744
cryptography,wcf,0.729153
wcf,xss,0.729153
business_requirements,legacy,0.729145
wcf,web-security,0.728945
automation,engineer,0.728784
business_requirements,driven,0.724327
linux,video,0.721969
experience_web_technologies,migration,0.721615
android,image-processing,0.721095
cloud,testing,0.720966
automation,cloud_computing,0.720733
cloud_computing,software_development,0.720230
application_modernization,information_technology,0.718076
jira,project_management_skills,0.717048
android,phonegap,0.715301
software_development,video,0.711239
automation,python,0.709856
executive_level,management_skills,0.709194
automation,development_experience,0.706728
information_technology,mainframe,0.706093
agile,innovative,0.705317
openstack,virtualization,0.704520
software-engineering,testing,0.704204
cloud_computing,written_communication_skills,0.703811
.net,asp.net,0.703050
data-warehousing,mongodb,0.702181
html,javascript,0.701435
scrum,tfs,0.701304
actionscript,responsive-design,0.701138
actionscript,sencha-touch,0.701138
business_requirements,modernization,0.700196
development_experience,engineer,0.699255
mysql,ruby,0.699143
php,ruby-on-rails,0.697436
modernization,software_development_life_cycle,0.696830
apache,linux,0.695566
automation,linux,0.693433
creativity,supply_chain,0.692933
application_modernization,business_requirements,0.692160
legacy,software_development_life_cycle,0.692127
ajax,xml,0.691876
deliver,executive_level,0.691738
deployment,mysql,0.690122
linux,unix,0.689544
image-processing,ios,0.689103
business_requirements,partner,0.688961
virtualization,windows,0.688852
actionscript,jquery,0.688531
consumer_insights,driven,0.687597
driven,experience_software_development_lifecycle,0.687597
communication_skills,marketing,0.687127
ios,phonegap,0.686972
life_cycle,performance,0.685407
cloud,svn,0.684983
automation,testing,0.684683
migration,mobile_applications,0.684452
html,xml,0.683977
cloud,leader,0.683578
php,wcf,0.683357
reporting-services,ruby-on-rails,0.683341
cloud,engineer,0.682574
android,windows-mobile,0.682095
executive_level,software_development_life_cycle,0.682000
devops,mysql,0.681499
application_modernization,software_development_life_cycle,0.681379
cordova,ios,0.680308
hyper-v,virtualization,0.679922
ios,objective-c,0.679666
automation,svn,0.679486
automation,software_development,0.679225
javascript,jquery,0.678167
continuous-integration,mysql,0.677970
sharepoint,visual-studio,0.674858
android,html5,0.674555
business_requirements,mainframe,0.674364
google-analytics,ruby-on-rails,0.673500
sql,sql-server,0.672931
apache,devops,0.672475
flurry,ruby-on-rails,0.672382
ruby-on-rails,statistics,0.672075
apache,continuous-integration,0.668668
mainframe,software_development_life_cycle,0.665421
information_technology,partner,0.664061
air,ios,0.663228
apache,ruby,0.662165
automation,networking,0.661428
apache,puppet,0.660450
android,objective-c,0.660258
mysql,puppet,0.659951
management_skills,passionate,0.657684
engineer,puppet,0.654714
java,php,0.653655
apache,deployment,0.652686
mobile_applications,soa,0.651604
cloud,computer-science,0.648661
engineer,software_development,0.648588
automation,puppet,0.648332
mercurial,visual-studio,0.646900
engineer,networking,0.646806
experience_web_technologies,management_skills,0.646049
cloud,software_development,0.644931
mysql,video,0.644855
communication_skills,development_experience,0.644635
alfresco,visual-studio,0.644235
visual-studio,workflow-activity,0.644235
visual-studio,workflow-foundation,0.644235
visual-studio,workflow-foundation-4,0.644235
communication_skills,computer-science,0.643721
automation,devops,0.642950
consultant,partner,0.642664
git,tfs,0.642624
marketing,video,0.642570
.net,php,0.642031
mercurial,tfs,0.641838
ruby-on-rails,ssas,0.641815
engineer,video,0.641261
alfresco,tfs,0.640849
tfs,workflow-activity,0.640849
tfs,workflow-foundation,0.640849
tfs,workflow-foundation-4,0.640849
automation,continuous-integration,0.640528
apache,unix,0.638136
communication_skills,leader,0.638021
ruby-on-rails,web-analytics,0.636884
innovative,soa,0.636600
java,spring,0.632845
consultant,executive_level,0.631337
ajax,javascript,0.630436
android,flex,0.630216
linux,written_communication_skills,0.629826
saas,soa,0.629091
information_technology,migration,0.626517
sharepoint,tfs,0.626232
sap,sql,0.624530
automation,ruby,0.624401
cloud,design_implementation,0.624037
architecture_experience,computer-science,0.623054
devops,engineer,0.622859
application_modernization,soa,0.622162
cloud,python,0.621758
modernization,soa,0.620513
continuous-integration,engineer,0.619781
performance,ssl,0.618337
engineer,python,0.617508
jira,version-control,0.615395
software_development,written_communication_skills,0.615253
cloud_computing,mysql,0.614753
driven,modernization,0.614723
legacy,soa,0.614651
linux,software_development,0.614449
automation,deployment,0.614334
engineer,ruby,0.613700
actionscript,objective-c,0.613549
communication_skills,video,0.613235
android,responsive-design,0.613064
android,sencha-touch,0.613064
passionate,software_development_life_cycle,0.611042
cloud_computing,python,0.610821
agile,computer-science,0.608850
ios,windows-mobile,0.607875
reporting,ruby-on-rails,0.606042
performance,supply_chain,0.605998
cloud_computing,engineer,0.605898
business_requirements,passionate,0.605859
javascript,web-applications,0.605056
life_cycle,ssl,0.604982
architecture_experience,innovative,0.604392
open-source,sql,0.603570
management_skills,mobile_applications,0.603275
c#,php,0.603020
mainframe,soa,0.600785
deliver,experience_web_technologies,0.600283
git,visual-studio,0.600249
deployment,marketing,0.599511
devops,marketing,0.598527
data-warehousing,ruby-on-rails,0.597732
version-control,visual-studio,0.595889
marketing,puppet,0.595741
asp.net,ruby-on-rails,0.595463
olap,ruby-on-rails,0.595152
mysql,networking,0.594867
engineer,linux,0.594708
experience_web_technologies,software_development_life_cycle,0.594253
continuous-integration,marketing,0.593810
apache,networking,0.593409
business_requirements,migration,0.593059
leader,testing,0.593045
application_modernization,driven,0.592126
information_technology,mobile_applications,0.592085
apache,cloud_computing,0.590016
actionscript,image-processing,0.588874
deployment,engineer,0.588322
computer-science,innovative,0.588139
development_experience,python,0.586289
computer-science,design_implementation,0.586109
openstack,ubuntu,0.585830
design_implementation,java,0.584984
data-warehousing,postgresql,0.583309
design_implementation,web-applications,0.583061
driven,legacy,0.582416
marketing,ruby,0.581996
architect,modernization,0.581523
experience_web_technologies,information_technology,0.581420
driven,mainframe,0.581173
oracle,sql-server,0.580847
communication_skills,puppet,0.580279
application_modernization,architect,0.579747
development_experience,mysql,0.577926
migration,software_development_life_cycle,0.577189
architect,legacy,0.577168
html5,ios,0.577142
leader,prototyping,0.576640
android,jquery,0.576165
engineer,software-engineering,0.575324
legacy,management_skills,0.574058
javascript,phonegap,0.573356
automation,video,0.572425
c#,encryption,0.572377
deliver,modernization,0.569613
database,mysql,0.567927
encryption,ruby-on-rails,0.567579
flex,ios,0.567576
consumer_insights,marketing,0.566557
experience_software_development_lifecycle,marketing,0.566557
ssl,supply_chain,0.566529
agile,soa,0.566384
communication_skills,innovative,0.566051
apache,software_development,0.564490
javascript,web-analytics,0.564259
apache,development_experience,0.563184
project_management_skills,tfs,0.562338
c#,visual-studio,0.562225
management_skills,marketing,0.562081
architect,consultant,0.561197
ruby-on-rails,ssis,0.561137
management_skills,modernization,0.560255
architect,mainframe,0.558795
c#,web-security,0.558631
database,sql,0.558425
business_requirements,mobile_applications,0.558111
c#,cryptography,0.558059
c#,xss,0.558059
ruby-on-rails,web-security,0.557764
.net,spring,0.557654
cryptography,ruby-on-rails,0.555965
ruby-on-rails,xss,0.555965
deliver,legacy,0.555752
communication_skills,devops,0.555459
erp,sql,0.555146
openerp,sql,0.553992
ofbiz,sql,0.553932
application_modernization,deliver,0.552129
creativity,performance,0.551128
project_management_skills,software-engineering,0.551067
communication_skills,continuous-integration,0.550616
computer-science,prototyping,0.550279
consumer_insights,management_skills,0.549083
experience_software_development_lifecycle,management_skills,0.549083
sql,ssis,0.548897
consultant,soa,0.548651
application_development,xml,0.548408
sql,ssas,0.547956
magento,sql,0.547822
agile,saas,0.546841
automation,communication_skills,0.546516
reporting,sql,0.546327
mysql,python,0.546200
communication_skills,security,0.546056
olap,sql,0.545485
leader,software-engineering,0.544562
asp.net,ssl,0.544468
architecture_experience,security,0.543454
experience_web_technologies,soa,0.542536
application_modernization,management_skills,0.542196
mobile_applications,software_development_life_cycle,0.541832
communication_skills,ruby,0.540735
networking,python,0.540243
soa,xml,0.539687
cryptography,spring,0.539345
spring,xss,0.539345
agile,scrum,0.539141
encryption,spring,0.539091
linux,mysql,0.539020
spring,web-security,0.538257
deliver,mainframe,0.537396
sql,web-analytics,0.536947
ruby-on-rails,visual-studio,0.536764
flex,javascript,0.536687
engineer,innovative,0.536259
mysql,php,0.536013
agile,architecture_experience,0.535524
actionscript,css,0.534958
consumer_insights,deliver,0.534945
deliver,experience_software_development_lifecycle,0.534945
migration,soa,0.534305
automation,written_communication_skills,0.531774
computer-science,testing,0.531310
python,software_development,0.528259
communication_skills,software_development,0.528179
.net,encryption,0.527251
linux,python,0.527188
ios,responsive-design,0.527141
ios,sencha-touch,0.527141
driven,mobile_applications,0.526871
business_requirements,oracle,0.525522
automation,leader,0.525152
communication_skills,deployment,0.524078
mainframe,management_skills,0.523052
deployment,python,0.523030
development_experience,marketing,0.522743
marketing,passionate,0.522509
architect,architecture_experience,0.521893
javascript,sql-server,0.521458
communication_skills,software-engineering,0.521454
.net,java,0.521364
database,python,0.520925
javascript,windows-mobile,0.520314
javascript,php,0.520033
data-warehousing,sql,0.519908
devops,python,0.519826
development_experience,mobile_applications,0.519803
cryptography,ssl,0.519497
ssl,xss,0.519497
puppet,python,0.518983
continuous-integration,python,0.518959
ssl,web-security,0.518873
marketing,networking,0.517891
hosting,virtualization,0.517302
design_implementation,leader,0.516998
architect,computer-science,0.516487
ios,jquery,0.516350
encryption,ssl,0.516232
communication_skills,networking,0.515270
cloud,networking,0.515249
marketing,partner,0.514455
architect,design_implementation,0.514176
cloud,linux,0.513144
cloud,cloud_computing,0.513028
driven,experience_web_technologies,0.512703
passionate,web-applications,0.512012
leader,security,0.511825
python,ruby,0.511217
html5,javascript,0.510745
project_management_skills,software_development_life_cycle,0.508854
javascript,responsive-design,0.508693
javascript,sencha-touch,0.508693
.net,cryptography,0.508239
.net,xss,0.508239
.net,web-security,0.507422
consumer_insights,information_technology,0.506452
experience_software_development_lifecycle,information_technology,0.506452
mysql,sql,0.505576
ability_manage,modernization,0.505135
agile,architect,0.503295
cloud,development_experience,0.502945
life_cycle,migration,0.502772
driven,migration,0.501883
cloud,java,0.501847
architect,experience_web_technologies,0.501741
ability_manage,legacy,0.501695
apache,performance,0.500759
experience_web_technologies,unix,0.500659
spring,testing,0.499993
cordova,javascript,0.499949
linq,xml,0.497857
encryption,java,0.496902
information_technology,oracle,0.496550
html,jquery,0.496474
performance,wpf,0.496267
cloud_computing,communication_skills,0.496223
security,written_communication_skills,0.496208
php,spring,0.494851
computer-science,security,0.493244
executive_level,marketing,0.493126
javascript,ruby-on-rails,0.493033
google-analytics,sql,0.492879
sql,statistics,0.492746
computer-science,software_development,0.492635
libvirt,performance,0.492553
performance,qemu,0.492553
performance,virtualbox,0.492553
