"","Start DateTime","Region","System","Activity","End DateTime Diff","Capacity","Network Traffic","End DateTime"
"58",2016-07-13 12:33:26,"Americas","Email","Install",26143,0.3,"Medium",2016-07-13 19:49:09
"59",2016-11-04 17:50:06,"Americas","Email","Update",28371,0.4,"Medium",2016-11-05 01:42:57
"60",2016-11-15 13:48:05,"Europe","Custom Application","Install",27546,0.5,"Medium",2016-11-15 21:27:11
"61",2016-03-20 11:38:17,"Africa","SaaS Application","Install",28038,0.2,"Low",2016-03-20 19:25:35
"62",2016-07-28 03:33:28,"Asia","Email","Update",24390,0.5,"Medium",2016-07-28 10:19:58
"63",2016-02-18 02:54:22,"Asia","Email","Install",28355,0.4,"Medium",2016-02-18 10:46:57
"64",2016-10-29 09:58:11,"Europe","Server","Update",25738,0.5,"Medium",2016-10-29 17:07:09
"65",2017-01-18 06:29:46,"Australia","Server","New Release",22705,0.6,"High",2017-01-18 12:48:11
"66",2016-06-20 13:14:24,"Europe","Data Center","Update",21150,0.8,"High",2016-06-20 19:06:54
"67",2016-05-03 01:33:44,"Americas","Email","Install",27960,0.3,"Medium",2016-05-03 09:19:44
"68",2016-09-20 23:04:16,"Americas","Email","Update",28130,0.4,"Medium",2016-09-21 06:53:06
"69",2016-11-30 11:20:42,"Americas","Custom Application","Update",25644,0.6,"Medium",2016-11-30 18:28:06
"70",2016-02-08 11:35:50,"Asia","Custom Application","Service Down",27876,0.8,"Medium",2016-02-08 19:20:26
"71",2016-05-20 23:12:15,"Asia","Email","Install",29959,0.3,"Low",2016-05-21 07:31:34
"72",2016-03-26 05:42:49,"Asia","Email","Update",30839,0.5,"Medium",2016-03-26 14:16:48
"73",2016-07-23 09:20:58,"Europe","Server","Update",25678,0.7,"High",2016-07-23 16:28:56
"74",2016-12-04 09:46:57,"Americas","Email","Service Down",25412,0.5,"Medium",2016-12-04 16:50:29
"75",2016-06-19 01:14:30,"Europe","Custom Application","Update",27073,0.6,"Medium",2016-06-19 08:45:43
"76",2016-03-23 14:01:25,"Americas","Email","Install",26545,0.3,"Medium",2016-03-23 21:23:50
"77",2016-02-15 01:51:54,"Asia","Email","Update",28664,0.6,"Medium",2016-02-15 09:49:38
"78",2017-01-14 12:45:44,"Europe","Custom Application","Service Down",26954,0.5,"Medium",2017-01-14 20:14:58
"79",2016-05-14 21:02:50,"Americas","Custom Application","Update",29126,0.6,"Medium",2016-05-15 05:08:16
"80",2016-02-04 21:33:44,"Asia","Email","Service Down",30481,0.6,"Medium",2016-02-05 06:01:45
"81",2016-08-11 19:01:13,"Americas","Email","Update",27483,0.5,"Medium",2016-08-12 02:39:16
"82",2016-02-20 09:39:51,"Asia","Email","Update",27872,0.4,"Medium",2016-02-20 17:24:23
"83",2016-08-31 19:23:23,"Americas","Custom Application","Update",24533,0.6,"High",2016-09-01 02:12:16
"84",2016-04-19 20:04:53,"Americas","Custom Application","Install",23963,0.5,"Medium",2016-04-20 02:44:16
"85",2017-01-15 02:41:38,"Australia","Custom Application","New Release",25178,0.6,"High",2017-01-15 09:41:16
"86",2016-04-11 11:11:30,"Asia","Email","Install",23575,0.4,"Medium",2016-04-11 17:44:25
"87",2016-09-14 19:28:30,"Europe","Server","Update",23442,0.5,"High",2016-09-15 01:59:12
"88",2016-05-24 07:36:43,"Asia","Email","Service Down",31348,0.5,"Low",2016-05-24 16:19:11
"89",2016-10-27 11:27:58,"Americas","Email","Update",26332,0.4,"Medium",2016-10-27 18:46:50
"90",2016-04-03 15:16:52,"Americas","Custom Application","Update",31284,0.6,"Medium",2016-04-03 23:58:16
"91",2016-05-19 18:22:16,"Americas","Email","Update",29772,0.5,"Medium",2016-05-20 02:38:28
"92",2016-08-03 21:08:57,"Americas","Custom Application","Update",28115,0.6,"Medium",2016-08-04 04:57:32
"93",2016-03-26 22:57:14,"Americas","Custom Application","Install",28969,0.6,"Medium",2016-03-27 07:00:03
"94",2016-08-27 22:21:40,"Americas","Email","Service Down",31170,0.6,"Low",2016-08-28 07:01:10
"95",2016-12-24 17:58:58,"Europe","Email","Update",28103,0.4,"Medium",2016-12-25 01:47:21
"96",2016-09-14 17:27:43,"Americas","Custom Application","Service Down",27559,0.7,"Medium",2016-09-15 01:07:02
"97",2016-12-03 11:09:03,"Europe","Custom Application","New Release",24588,0.7,"High",2016-12-03 17:58:51
"98",2016-04-23 03:10:03,"Americas","Custom Application","Update",20280,0.5,"High",2016-04-23 08:48:03
"99",2016-04-11 05:45:40,"Americas","Custom Application","Update",26896,0.5,"Medium",2016-04-11 13:13:56
"100",2016-03-04 06:04:50,"Asia","Custom Application","Update",24841,0.6,"Medium",2016-03-04 12:58:51
"101",2016-08-26 22:39:20,"Europe","Custom Application","Update",28258,0.5,"Medium",2016-08-27 06:30:18
"102",2016-11-16 08:51:44,"Europe","Custom Application","Service Down",27880,0.7,"Medium",2016-11-16 16:36:24
"103",2016-10-21 07:53:26,"Europe","Server","Service Down",25018,0.8,"High",2016-10-21 14:50:24
"104",2016-12-30 07:54:28,"Australia","Server","Service Down",25374,0.8,"High",2016-12-30 14:57:22
"105",2016-05-31 10:43:33,"Americas","Email","Install",26501,0.3,"Medium",2016-05-31 18:05:14
"106",2016-06-06 19:19:02,"Asia","Email","Service Down",24548,0.5,"Medium",2016-06-07 02:08:10
"107",2016-08-22 02:00:00,"Asia","Network","Update",27278,0.3,"Medium",2016-08-22 09:34:38
"108",2016-10-07 14:26:11,"Americas","Custom Application","New Release",28516,0.7,"Medium",2016-10-07 22:21:27
"109",2016-02-05 00:16:11,"Asia","Email","Install",27666,0.4,"Medium",2016-02-05 07:57:17
"110",2016-02-26 11:47:07,"Asia","Email","Update",30549,0.5,"Medium",2016-02-26 20:16:16
"111",2016-02-14 23:44:44,"Asia","Email","Update",27297,0.5,"Medium",2016-02-15 07:19:41
"112",2016-04-15 20:51:07,"Europe","Server","Update",28891,0.6,"Medium",2016-04-16 04:52:38
"113",2016-06-30 17:05:09,"Asia","Custom Application","Service Down",25947,0.7,"Medium",2016-07-01 00:17:36
"114",2016-06-21 01:19:49,"Americas","Custom Application","Update",25783,0.6,"Medium",2016-06-21 08:29:32
"115",2016-09-24 14:11:34,"Americas","Email","Update",27611,0.4,"Medium",2016-09-24 21:51:45
"116",2016-12-12 15:46:43,"Europe","Email","Service Down",27215,0.4,"Medium",2016-12-12 23:20:18
"117",2016-04-04 17:08:29,"Asia","Custom Application","Update",27563,0.6,"Medium",2016-04-05 00:47:52
"118",2016-04-13 12:42:15,"Americas","Custom Application","Update",23578,0.5,"High",2016-04-13 19:15:13
"119",2016-11-19 12:49:38,"Americas","Email","Update",28908,0.3,"Medium",2016-11-19 20:51:26
"120",2016-10-29 04:49:58,"Americas","Custom Application","Update",25093,0.5,"Medium",2016-10-29 11:48:11
"121",2016-05-21 09:32:41,"Asia","Email","Update",24267,0.4,"Medium",2016-05-21 16:17:08
"122",2016-12-17 04:27:12,"Europe","Email","Service Down",28547,0.4,"Medium",2016-12-17 12:22:59
"123",2017-01-11 20:50:17,"Americas","Email","Service Down",22308,0.5,"High",2017-01-12 03:02:05
"124",2016-02-20 18:55:15,"Asia","Email","Install",23472,0.4,"Medium",2016-02-21 01:26:27
"125",2016-08-03 01:05:59,"Americas","Custom Application","Update",22253,0.6,"High",2016-08-03 07:16:52
"126",2016-09-14 15:27:21,"Americas","Custom Application","Update",24472,0.6,"Medium",2016-09-14 22:15:13
"127",2016-10-05 18:50:25,"Europe","Email","Update",26889,0.4,"Medium",2016-10-06 02:18:34
"128",2016-10-07 18:55:13,"Americas","Email","Service Down",31089,0.6,"Medium",2016-10-08 03:33:22
"129",2016-09-11 17:38:58,"Americas","Network","Update",23182,0.2,"Medium",2016-09-12 00:05:20
"130",2016-10-07 04:13:44,"Americas","Email","Update",29330,0.5,"Medium",2016-10-07 12:22:34
"131",2016-12-25 20:29:02,"Americas","Network","Update",25822,0.2,"Medium",2016-12-26 03:39:24
"132",2016-02-19 08:02:37,"Africa","Network","Install",36000,0.3,"Low",2016-02-19 18:02:37
"133",2016-02-03 18:32:41,"Africa","Network","Install",28104,0.3,"Medium",2016-02-04 02:21:05
"134",2016-01-23 16:31:01,"Africa","Network","Security Test",28280,0.3,"Medium",2016-01-24 00:22:21
"135",2016-09-07 19:45:48,"Americas","Custom Application","Service Down",25335,0.6,"Medium",2016-09-08 02:48:03
"136",2016-05-20 13:26:24,"Americas","Server","Update",23904,0.6,"High",2016-05-20 20:04:48
"137",2016-11-04 08:35:35,"Europe","Custom Application","Service Down",27402,0.5,"Medium",2016-11-04 16:12:17
"138",2016-04-15 11:02:48,"Americas","Custom Application","Update",32517,0.6,"Medium",2016-04-15 20:04:45
"139",2016-06-14 02:19:38,"Americas","Custom Application","Update",26065,0.5,"Medium",2016-06-14 09:34:03
"140",2016-01-22 06:47:35,"Asia","Email","Security Test",30558,0.3,"Low",2016-01-22 15:16:53
"141",2016-08-18 03:34:08,"Americas","Custom Application","Update",27835,0.5,"Medium",2016-08-18 11:18:03
"142",2016-03-09 17:01:43,"Americas","Custom Application","Update",27667,0.5,"Medium",2016-03-10 00:42:50
"143",2016-10-04 18:00:13,"Asia","Network","Update",24553,0.3,"Medium",2016-10-05 00:49:26
"144",2016-12-27 04:16:27,"Europe","Server","Service Down",25535,0.7,"Medium",2016-12-27 11:22:02
"145",2016-09-06 05:36:34,"Americas","Custom Application","Update",26678,0.4,"Medium",2016-09-06 13:01:12
"146",2016-07-04 05:49:44,"Americas","Email","Install",25299,0.3,"Medium",2016-07-04 12:51:23
"147",2016-09-08 21:23:24,"Americas","Custom Application","Update",26777,0.7,"Medium",2016-09-09 04:49:41
"148",2016-08-23 04:53:49,"Europe","Custom Application","Update",28920,0.6,"Medium",2016-08-23 12:55:49
"149",2016-06-24 11:02:12,"Americas","Custom Application","Install",23312,0.5,"High",2016-06-24 17:30:44
"150",2016-04-09 21:49:35,"Asia","Email","Update",28137,0.5,"Medium",2016-04-10 05:38:32
"151",2017-01-08 07:44:43,"Australia","Server","Update",20591,0.7,"High",2017-01-08 13:27:54
"152",2016-11-05 08:41:54,"Americas","Custom Application","Update",24033,0.5,"Medium",2016-11-05 15:22:27
"153",2016-03-10 19:56:50,"Asia","Network","Security Test",26703,0.3,"Medium",2016-03-11 03:21:53
"154",2016-12-31 05:47:50,"Europe","Server","Service Down",22638,0.7,"High",2016-12-31 12:05:08
"155",2016-07-07 08:21:10,"Americas","Custom Application","Update",25289,0.7,"Medium",2016-07-07 15:22:39
"156",2016-12-31 12:45:52,"Europe","Server","Service Down",24213,0.8,"High",2016-12-31 19:29:25
"157",2016-04-22 00:47:44,"Americas","Custom Application","Update",23664,0.5,"High",2016-04-22 07:22:08
"158",2016-03-07 16:11:49,"Asia","Email","Install",30332,0.4,"Low",2016-03-08 00:37:21
"159",2016-09-16 11:58:17,"Americas","Custom Application","Update",25487,0.5,"Medium",2016-09-16 19:03:04
"160",2016-08-21 19:34:27,"Americas","Custom Application","Update",26307,0.6,"Medium",2016-08-22 02:52:54
"161",2016-05-10 11:11:39,"Americas","Email","Install",27381,0.4,"Medium",2016-05-10 18:48:00
"162",2016-12-07 16:38:57,"Europe","Server","Update",22333,0.7,"High",2016-12-07 22:51:10
"163",2016-11-04 14:51:10,"Europe","Server","Update",27319,0.6,"Medium",2016-11-04 22:26:29
"164",2016-12-03 02:13:17,"Americas","Email","Update",22946,0.4,"Medium",2016-12-03 08:35:43
"165",2016-05-19 00:48:31,"Asia","Network","Update",31543,0.3,"Low",2016-05-19 09:34:14
"166",2016-08-02 12:31:22,"Europe","Server","Service Down",23980,0.6,"High",2016-08-02 19:11:02
"167",2016-03-16 07:14:57,"Americas","Custom Application","Update",29627,0.7,"Medium",2016-03-16 15:28:44
"168",2016-04-30 15:53:12,"Americas","Email","Service Down",27200,0.5,"Medium",2016-04-30 23:26:32
"169",2016-05-27 11:17:23,"Americas","Email","Install",24490,0.4,"Medium",2016-05-27 18:05:33
"170",2016-05-03 17:55:33,"Asia","Network","Install",27466,0.1,"Medium",2016-05-04 01:33:19
"171",2016-05-17 22:58:25,"Americas","Custom Application","Install",27591,0.6,"Medium",2016-05-18 06:38:16
"172",2016-10-14 11:00:00,"Americas","Custom Application","Update",23204,0.6,"High",2016-10-14 17:26:44
"173",2016-10-05 17:30:49,"Americas","Email","Install",26692,0.5,"Medium",2016-10-06 00:55:41
"174",2016-11-07 22:57:48,"Americas","Custom Application","Service Down",25928,0.6,"Medium",2016-11-08 06:09:56
"175",2016-03-11 17:19:27,"Americas","Server","Service Down",21609,0.7,"High",2016-03-11 23:19:36
"176",2016-03-27 19:19:50,"Europe","Data Center","Update",28234,0.8,"Medium",2016-03-28 03:10:24
"177",2017-01-17 16:26:57,"Europe","Email","Service Down",24963,0.4,"Medium",2017-01-17 23:23:00
"178",2016-04-11 13:28:30,"Americas","Custom Application","Install",25297,0.6,"Medium",2016-04-11 20:30:07
"179",2016-01-30 20:15:19,"Americas","Server","Update",27780,0.7,"Medium",2016-01-31 03:58:19
"180",2016-03-22 01:41:00,"Asia","Custom Application","Install",26788,0.6,"Medium",2016-03-22 09:07:28
"181",2016-06-24 23:42:31,"Americas","Email","Update",26110,0.5,"Medium",2016-06-25 06:57:41
"182",2016-04-30 22:48:20,"Europe","Server","Update",26892,0.6,"Medium",2016-05-01 06:16:32
"183",2016-10-14 16:39:19,"Americas","Custom Application","Service Down",21752,0.5,"High",2016-10-14 22:41:51
"184",2016-07-28 04:08:15,"Asia","Network","Install",22330,0.2,"Medium",2016-07-28 10:20:25
"185",2016-12-30 16:43:29,"Europe","Custom Application","Service Down",24773,0.7,"High",2016-12-30 23:36:22
"186",2016-09-13 12:54:13,"Americas","Custom Application","Service Down",26270,0.5,"Medium",2016-09-13 20:12:03
"187",2016-10-27 20:29:35,"Europe","Custom Application","Update",26826,0.6,"Medium",2016-10-28 03:56:41
"188",2016-02-16 08:04:07,"Asia","Custom Application","Install",26145,0.5,"Medium",2016-02-16 15:19:52
"189",2016-01-31 12:20:44,"Asia","Custom Application","Update",26101,0.6,"Medium",2016-01-31 19:35:45
"190",2016-11-04 15:29:40,"Americas","Custom Application","Update",22401,0.5,"High",2016-11-04 21:43:01
"191",2016-02-19 09:09:11,"Asia","Email","Install",27601,0.4,"Medium",2016-02-19 16:49:12
"192",2016-03-17 03:23:53,"Asia","Network","Install",31526,0.3,"Low",2016-03-17 12:09:19
"193",2016-05-02 11:58:03,"Asia","Email","Update",28824,0.5,"Medium",2016-05-02 19:58:27
"194",2017-01-08 13:24:11,"Europe","Custom Application","Service Down",27238,0.6,"Medium",2017-01-08 20:58:09
"195",2016-10-02 08:51:49,"Americas","Email","Install",26836,0.3,"Medium",2016-10-02 16:19:05
"196",2016-08-16 05:33:34,"Americas","Email","Update",25846,0.5,"Medium",2016-08-16 12:44:20
"197",2016-12-07 08:12:36,"Europe","Custom Application","Install",24210,0.5,"Medium",2016-12-07 14:56:06
"198",2016-07-14 09:06:15,"Americas","Server","Service Down",28526,0.9,"Medium",2016-07-14 17:01:41
"199",2016-04-02 04:34:18,"Americas","Custom Application","Update",27620,0.6,"Medium",2016-04-02 12:14:38
"200",2016-12-18 05:46:13,"Europe","Server","Service Down",27729,0.7,"Medium",2016-12-18 13:28:22
"201",2016-03-06 20:39:13,"Asia","Custom Application","Update",27205,0.6,"Medium",2016-03-07 04:12:38
"202",2016-11-03 14:51:38,"Europe","Custom Application","Service Down",24285,0.7,"High",2016-11-03 21:36:23
"203",2016-02-13 01:20:55,"Asia","Email","Install",26648,0.4,"Medium",2016-02-13 08:45:03
"204",2016-11-20 11:14:33,"Europe","Data Center","New Release",27162,1,"High",2016-11-20 18:47:15
"205",2016-06-16 12:55:12,"Americas","Custom Application","Update",23042,0.4,"High",2016-06-16 19:19:14
"206",2016-07-28 03:40:47,"Americas","Custom Application","Update",29321,0.6,"Medium",2016-07-28 11:49:28
"207",2016-06-11 06:58:18,"Asia","Email","Update",26662,0.5,"Medium",2016-06-11 14:22:40
"208",2016-05-06 06:36:02,"Americas","Email","Update",27981,0.5,"Medium",2016-05-06 14:22:23
"209",2016-04-07 02:50:44,"Americas","Email","Security Test",28904,0.3,"Medium",2016-04-07 10:52:28
"210",2016-11-22 01:03:09,"Europe","Email","Update",27590,0.4,"Medium",2016-11-22 08:42:59
"211",2016-11-25 21:49:31,"Americas","Email","Service Down",23437,0.5,"High",2016-11-26 04:20:08
"212",2016-10-04 08:07:24,"Americas","Custom Application","Install",25371,0.4,"Medium",2016-10-04 15:10:15
"213",2016-11-16 04:19:20,"Europe","Custom Application","Update",21358,0.4,"High",2016-11-16 10:15:18
"214",2016-05-29 10:07:31,"Asia","Network","Install",25335,0.3,"Medium",2016-05-29 17:09:46
"215",2016-05-11 04:33:00,"Americas","Custom Application","Install",23534,0.4,"Medium",2016-05-11 11:05:14
"216",2016-03-12 21:14:44,"Asia","Email","Update",27740,0.4,"Medium",2016-03-13 04:57:04
"217",2016-07-31 06:56:00,"Americas","Custom Application","Install",23476,0.4,"Medium",2016-07-31 13:27:16
"218",2016-02-06 01:46:33,"Asia","Email","Install",28945,0.6,"Medium",2016-02-06 09:48:58
"219",2017-01-08 05:49:29,"Australia","Server","Service Down",20073,0.7,"High",2017-01-08 11:24:02
"220",2016-02-19 21:24:14,"Americas","Email","Install",31053,0.4,"Low",2016-02-20 06:01:47
"221",2016-11-10 05:04:09,"Europe","Custom Application","Service Down",19669,0.4,"High",2016-11-10 10:31:58
"222",2016-08-25 21:52:38,"Americas","Custom Application","Update",24880,0.5,"Medium",2016-08-26 04:47:18
"223",2016-04-20 07:45:19,"Americas","Custom Application","Update",23750,0.5,"High",2016-04-20 14:21:09
"224",2016-02-22 05:42:25,"Asia","Email","Update",28829,0.5,"Medium",2016-02-22 13:42:54
"225",2016-07-24 23:50:51,"Europe","Custom Application","Update",24530,0.4,"Medium",2016-07-25 06:39:41
"226",2016-09-09 18:28:20,"Americas","Custom Application","Update",24275,0.4,"Medium",2016-09-10 01:12:55
"227",2016-12-03 15:22:54,"Europe","Custom Application","Service Down",26177,0.6,"Medium",2016-12-03 22:39:11
"228",2016-10-27 09:23:42,"Europe","Custom Application","Update",24862,0.5,"Medium",2016-10-27 16:18:04
"229",2016-03-13 10:45:21,"Americas","Custom Application","Update",25429,0.7,"Medium",2016-03-13 17:49:10
"230",2016-09-03 22:55:15,"Europe","Server","Update",20900,0.6,"High",2016-09-04 04:43:35
"231",2016-05-17 18:23:08,"Americas","Email","Update",28241,0.5,"Medium",2016-05-18 02:13:49
"232",2016-06-15 01:02:49,"Asia","Email","Install",30504,0.6,"Low",2016-06-15 09:31:13
"233",2016-02-21 22:40:19,"Asia","Network","Update",32713,0.3,"Low",2016-02-22 07:45:32
"234",2016-02-20 11:19:27,"Asia","Email","Install",29953,0.3,"Medium",2016-02-20 19:38:40
"235",2016-08-02 19:34:45,"Americas","Custom Application","Update",24958,0.6,"Medium",2016-08-03 02:30:43
"236",2016-09-25 03:14:19,"Americas","Email","Install",26118,0.3,"Medium",2016-09-25 10:29:37
"237",2016-02-17 09:07:21,"Asia","Email","Install",29634,0.3,"Medium",2016-02-17 17:21:15
"238",2016-02-09 03:56:32,"Asia","Server","Install",22340,0.6,"High",2016-02-09 10:08:52
"239",2016-04-16 22:06:37,"Americas","Custom Application","Install",25453,0.5,"Medium",2016-04-17 05:10:50
"240",2016-10-20 12:26:55,"Americas","Email","Service Down",27157,0.5,"Medium",2016-10-20 19:59:32
"241",2017-01-13 23:54:04,"Australia","Server","Service Down",20148,0.5,"High",2017-01-14 05:29:52
"242",2016-09-27 23:12:42,"Americas","Server","Service Down",27332,0.9,"Medium",2016-09-28 06:48:14
"243",2016-10-09 07:33:43,"Americas","Custom Application","Update",24824,0.6,"Medium",2016-10-09 14:27:27
"244",2016-03-03 11:37:18,"Asia","Email","Update",28924,0.4,"Medium",2016-03-03 19:39:22
"245",2016-06-20 01:52:25,"Americas","Email","Update",29643,0.4,"Medium",2016-06-20 10:06:28
"246",2016-04-29 18:52:34,"Asia","Network","Update",29188,0.3,"Medium",2016-04-30 02:59:02
"247",2016-05-24 17:50:32,"Americas","Server","Service Down",28581,0.7,"Medium",2016-05-25 01:46:53
"248",2017-01-04 11:32:42,"Europe","Custom Application","Service Down",24948,0.5,"Medium",2017-01-04 18:28:30
"249",2016-03-04 15:32:12,"Asia","Email","Install",25836,0.3,"Medium",2016-03-04 22:42:48
"250",2016-11-28 15:49:43,"Europe","Server","Service Down",22993,0.7,"High",2016-11-28 22:12:56
"251",2016-05-16 02:09:53,"Asia","Email","Update",27747,0.4,"Medium",2016-05-16 09:52:20
"252",2016-06-23 09:05:26,"Asia","Email","Update",23307,0.4,"Medium",2016-06-23 15:33:53
"253",2016-03-22 21:30:48,"Asia","Custom Application","Install",23923,0.5,"Medium",2016-03-23 04:09:31
"254",2016-08-06 15:41:43,"Americas","Email","Service Down",26199,0.5,"Medium",2016-08-06 22:58:22
"255",2016-06-09 20:43:18,"Americas","Email","Install",27848,0.4,"Medium",2016-06-10 04:27:26
"256",2016-11-16 15:10:04,"Europe","Custom Application","Service Down",25657,0.6,"Medium",2016-11-16 22:17:41
"257",2016-06-16 22:45:06,"Americas","Email","Install",28854,0.5,"Medium",2016-06-17 06:46:00
"258",2016-06-17 07:21:16,"Asia","Email","Update",27049,0.3,"Medium",2016-06-17 14:52:05
"259",2017-01-17 03:02:10,"Australia","Server","New Release",23755,0.6,"High",2017-01-17 09:38:05
"260",2016-11-13 06:10:57,"Europe","Custom Application","Update",22769,0.5,"High",2016-11-13 12:30:26
