Column 0,Date,Hospital,Asthma Related Admissions,OZONE,PM10,PM2.5
44,3/27/2016 12:00:00 AM,Brooklyn Methodist Hospital,23,39,9,22
45,3/28/2016 12:00:00 AM,Brooklyn Methodist Hospital,33,40,4,21
46,3/29/2016 12:00:00 AM,Brooklyn Methodist Hospital,14,44,2,24
47,3/30/2016 12:00:00 AM,Brooklyn Methodist Hospital,8,44,13,33
48,3/31/2016 12:00:00 AM,Brooklyn Methodist Hospital,1,49,26,49
49,4/1/2016 12:00:00 AM,Brooklyn Methodist Hospital,2,45,14,48
50,4/2/2016 12:00:00 AM,Brooklyn Methodist Hospital,6,37,8,23
51,4/3/2016 12:00:00 AM,Brooklyn Methodist Hospital,9,40,3,25
52,4/4/2016 12:00:00 AM,Brooklyn Methodist Hospital,17,31,8,46
53,4/5/2016 12:00:00 AM,Brooklyn Methodist Hospital,13,40,9,32
54,4/6/2016 12:00:00 AM,Brooklyn Methodist Hospital,22,46,13,24
55,4/7/2016 12:00:00 AM,Brooklyn Methodist Hospital,15,43,12,25
56,4/8/2016 12:00:00 AM,Brooklyn Methodist Hospital,4,38,5,37
57,4/9/2016 12:00:00 AM,Brooklyn Methodist Hospital,2,36,8,41
58,4/10/2016 12:00:00 AM,Brooklyn Methodist Hospital,14,40,9,27
59,4/11/2016 12:00:00 AM,Brooklyn Methodist Hospital,25,44,22,44
60,4/12/2016 12:00:00 AM,Brooklyn Methodist Hospital,26,36,13,37
61,4/13/2016 12:00:00 AM,Brooklyn Methodist Hospital,4,39,7,25
62,4/14/2016 12:00:00 AM,Brooklyn Methodist Hospital,3,39,8,30
63,4/15/2016 12:00:00 AM,Brooklyn Methodist Hospital,5,42,8,32
64,4/16/2016 12:00:00 AM,Brooklyn Methodist Hospital,21,46,6,27
65,4/17/2016 12:00:00 AM,Brooklyn Methodist Hospital,22,50,12,38
66,4/18/2016 12:00:00 AM,Brooklyn Methodist Hospital,0,74,21,42
67,4/19/2016 12:00:00 AM,Brooklyn Methodist Hospital,12,51,17,30
68,4/20/2016 12:00:00 AM,Brooklyn Methodist Hospital,25,49,9,17
69,4/21/2016 12:00:00 AM,Brooklyn Methodist Hospital,19,71,22,52
70,4/22/2016 12:00:00 AM,Brooklyn Methodist Hospital,24,74,36,86
71,4/23/2016 12:00:00 AM,Brooklyn Methodist Hospital,17,39,11,31
72,4/24/2016 12:00:00 AM,Brooklyn Methodist Hospital,26,47,6,21
73,4/25/2016 12:00:00 AM,Brooklyn Methodist Hospital,5,47,17,44
74,4/26/2016 12:00:00 AM,Brooklyn Methodist Hospital,13,33,19,44
75,4/27/2016 12:00:00 AM,Brooklyn Methodist Hospital,1,35,11,19
76,4/28/2016 12:00:00 AM,Brooklyn Methodist Hospital,3,45,11,22
77,4/29/2016 12:00:00 AM,Brooklyn Methodist Hospital,6,43,13,23
78,4/30/2016 12:00:00 AM,Brooklyn Methodist Hospital,17,48,10,22
79,5/1/2016 12:00:00 AM,Brooklyn Methodist Hospital,13,38,5,14
80,5/2/2016 12:00:00 AM,Brooklyn Methodist Hospital,22,31,19,47
81,5/3/2016 12:00:00 AM,Brooklyn Methodist Hospital,31,29,7,19
82,5/4/2016 12:00:00 AM,Brooklyn Methodist Hospital,11,28,5,14
83,5/5/2016 12:00:00 AM,Brooklyn Methodist Hospital,5,29,4,21
84,5/6/2016 12:00:00 AM,Brooklyn Methodist Hospital,2,28,6,17
85,5/7/2016 12:00:00 AM,Brooklyn Methodist Hospital,5,25,7,19
86,5/8/2016 12:00:00 AM,Brooklyn Methodist Hospital,4,37,8,21
87,5/9/2016 12:00:00 AM,Brooklyn Methodist Hospital,25,47,14,40
88,5/10/2016 12:00:00 AM,Brooklyn Methodist Hospital,15,35,10,21
89,5/11/2016 12:00:00 AM,Brooklyn Methodist Hospital,16,44,18,48
90,5/12/2016 12:00:00 AM,Brooklyn Methodist Hospital,2,97,26,54
91,5/13/2016 12:00:00 AM,Brooklyn Methodist Hospital,15,34,24,69
92,5/14/2016 12:00:00 AM,Brooklyn Methodist Hospital,39,49,11,61
93,5/15/2016 12:00:00 AM,Brooklyn Methodist Hospital,26,30,3,27
94,5/16/2016 12:00:00 AM,Brooklyn Methodist Hospital,3,41,8,47
95,5/17/2016 12:00:00 AM,Brooklyn Methodist Hospital,5,38,14,64
96,5/18/2016 12:00:00 AM,Brooklyn Methodist Hospital,7,42,10,59
97,5/19/2016 12:00:00 AM,Brooklyn Methodist Hospital,14,45,16,65
98,5/20/2016 12:00:00 AM,Brooklyn Methodist Hospital,24,48,12,28
99,5/21/2016 12:00:00 AM,Brooklyn Methodist Hospital,20,44,16,34
100,5/22/2016 12:00:00 AM,Brooklyn Methodist Hospital,10,48,9,22
101,5/23/2016 12:00:00 AM,Brooklyn Methodist Hospital,27,58,15,31
102,5/24/2016 12:00:00 AM,Brooklyn Methodist Hospital,7,38,12,39
103,5/25/2016 12:00:00 AM,Brooklyn Methodist Hospital,1,151,24,66
104,5/26/2016 12:00:00 AM,Brooklyn Methodist Hospital,17,133,28,67
105,5/27/2016 12:00:00 AM,Brooklyn Methodist Hospital,40,101,39,74
106,5/28/2016 12:00:00 AM,Brooklyn Methodist Hospital,10,112,26,58
107,5/29/2016 12:00:00 AM,Brooklyn Methodist Hospital,40,74,13,34
108,5/30/2016 12:00:00 AM,Brooklyn Methodist Hospital,18,37,NA,19
109,5/31/2016 12:00:00 AM,Brooklyn Methodist Hospital,31,64,NA,34
110,6/1/2016 12:00:00 AM,Brooklyn Methodist Hospital,12,54,15,41
111,6/2/2016 12:00:00 AM,Brooklyn Methodist Hospital,14,44,13,33
112,6/3/2016 12:00:00 AM,Brooklyn Methodist Hospital,5,24,14,37
113,6/4/2016 12:00:00 AM,Brooklyn Methodist Hospital,2,71,18,50
114,6/5/2016 12:00:00 AM,Brooklyn Methodist Hospital,22,35,3,18
115,6/6/2016 12:00:00 AM,Brooklyn Methodist Hospital,12,71,8,26
116,6/7/2016 12:00:00 AM,Brooklyn Methodist Hospital,14,71,11,37
117,6/8/2016 12:00:00 AM,Brooklyn Methodist Hospital,19,28,5,17
118,6/9/2016 12:00:00 AM,Brooklyn Methodist Hospital,44,42,8,12
119,6/10/2016 12:00:00 AM,Brooklyn Methodist Hospital,2,42,7,16
120,6/11/2016 12:00:00 AM,Brooklyn Methodist Hospital,16,101,20,55
121,6/12/2016 12:00:00 AM,Brooklyn Methodist Hospital,4,46,15,34
122,6/13/2016 12:00:00 AM,Brooklyn Methodist Hospital,11,29,3,27
123,6/14/2016 12:00:00 AM,Brooklyn Methodist Hospital,39,40,6,23
124,6/15/2016 12:00:00 AM,Brooklyn Methodist Hospital,42,87,12,38
125,6/16/2016 12:00:00 AM,Brooklyn Methodist Hospital,11,44,21,54
126,6/17/2016 12:00:00 AM,Brooklyn Methodist Hospital,30,50,16,36
127,6/18/2016 12:00:00 AM,Brooklyn Methodist Hospital,28,84,11,32
128,6/19/2016 12:00:00 AM,Brooklyn Methodist Hospital,23,84,16,35
129,6/20/2016 12:00:00 AM,Brooklyn Methodist Hospital,24,71,18,39
130,6/21/2016 12:00:00 AM,Brooklyn Methodist Hospital,3,90,15,42
131,6/22/2016 12:00:00 AM,Brooklyn Methodist Hospital,6,54,15,45
132,6/23/2016 12:00:00 AM,Brooklyn Methodist Hospital,43,64,25,57
133,6/24/2016 12:00:00 AM,Brooklyn Methodist Hospital,37,87,20,55
134,6/25/2016 12:00:00 AM,Brooklyn Methodist Hospital,34,77,14,37
135,6/26/2016 12:00:00 AM,Brooklyn Methodist Hospital,12,115,15,45
136,6/27/2016 12:00:00 AM,Brooklyn Methodist Hospital,25,49,18,47
137,6/28/2016 12:00:00 AM,Brooklyn Methodist Hospital,28,36,11,41
138,6/29/2016 12:00:00 AM,Brooklyn Methodist Hospital,14,54,10,30
139,6/30/2016 12:00:00 AM,Brooklyn Methodist Hospital,2,58,12,27
140,7/1/2016 12:00:00 AM,Brooklyn Methodist Hospital,15,44,15,33
141,7/2/2016 12:00:00 AM,Brooklyn Methodist Hospital,45,32,9,20
142,7/3/2016 12:00:00 AM,Brooklyn Methodist Hospital,36,44,11,29
143,7/4/2016 12:00:00 AM,Brooklyn Methodist Hospital,22,64,18,50
144,7/5/2016 12:00:00 AM,Brooklyn Methodist Hospital,20,44,NA,22
145,7/6/2016 12:00:00 AM,Brooklyn Methodist Hospital,10,115,16,52
146,7/7/2016 12:00:00 AM,Brooklyn Methodist Hospital,21,80,23,57
147,7/8/2016 12:00:00 AM,Brooklyn Methodist Hospital,3,50,17,46
148,7/9/2016 12:00:00 AM,Brooklyn Methodist Hospital,5,23,10,17
149,7/10/2016 12:00:00 AM,Brooklyn Methodist Hospital,21,34,4,12
150,7/11/2016 12:00:00 AM,Brooklyn Methodist Hospital,20,42,6,12
151,7/12/2016 12:00:00 AM,Brooklyn Methodist Hospital,40,67,11,28
152,7/13/2016 12:00:00 AM,Brooklyn Methodist Hospital,23,44,14,27
153,7/14/2016 12:00:00 AM,Brooklyn Methodist Hospital,14,49,19,65
154,7/15/2016 12:00:00 AM,Brooklyn Methodist Hospital,2,115,19,53
155,7/16/2016 12:00:00 AM,Brooklyn Methodist Hospital,33,90,14,38
156,7/17/2016 12:00:00 AM,Brooklyn Methodist Hospital,31,101,12,44
157,7/18/2016 12:00:00 AM,Brooklyn Methodist Hospital,2,90,16,47
158,7/19/2016 12:00:00 AM,Brooklyn Methodist Hospital,13,36,10,23
159,7/20/2016 12:00:00 AM,Brooklyn Methodist Hospital,34,44,11,24
160,7/21/2016 12:00:00 AM,Brooklyn Methodist Hospital,35,122,20,40
161,7/22/2016 12:00:00 AM,Brooklyn Methodist Hospital,1,140,23,77
162,7/23/2016 12:00:00 AM,Brooklyn Methodist Hospital,28,51,14,60
163,7/24/2016 12:00:00 AM,Brooklyn Methodist Hospital,14,64,13,58
164,7/25/2016 12:00:00 AM,Brooklyn Methodist Hospital,36,100,20,62
165,7/26/2016 12:00:00 AM,Brooklyn Methodist Hospital,22,44,11,27
166,7/27/2016 12:00:00 AM,Brooklyn Methodist Hospital,6,74,13,32
167,7/28/2016 12:00:00 AM,Brooklyn Methodist Hospital,4,101,23,61
168,7/29/2016 12:00:00 AM,Brooklyn Methodist Hospital,37,108,15,52
169,7/30/2016 12:00:00 AM,Brooklyn Methodist Hospital,23,80,19,61
170,7/31/2016 12:00:00 AM,Brooklyn Methodist Hospital,43,38,12,56
171,8/1/2016 12:00:00 AM,Brooklyn Methodist Hospital,21,38,10,43
172,8/2/2016 12:00:00 AM,Brooklyn Methodist Hospital,20,27,9,41
173,8/3/2016 12:00:00 AM,Brooklyn Methodist Hospital,40,38,10,39
174,8/4/2016 12:00:00 AM,Brooklyn Methodist Hospital,10,44,13,32
175,8/5/2016 12:00:00 AM,Brooklyn Methodist Hospital,5,61,16,30
176,8/6/2016 12:00:00 AM,Brooklyn Methodist Hospital,19,47,12,34
177,8/7/2016 12:00:00 AM,Brooklyn Methodist Hospital,8,37,7,19
178,8/8/2016 12:00:00 AM,Brooklyn Methodist Hospital,32,49,10,35
179,8/9/2016 12:00:00 AM,Brooklyn Methodist Hospital,34,90,15,39
180,8/10/2016 12:00:00 AM,Brooklyn Methodist Hospital,33,36,16,35
181,8/11/2016 12:00:00 AM,Brooklyn Methodist Hospital,38,84,19,45
182,8/12/2016 12:00:00 AM,Brooklyn Methodist Hospital,27,71,13,38
183,8/13/2016 12:00:00 AM,Brooklyn Methodist Hospital,41,87,18,51
184,8/14/2016 12:00:00 AM,Brooklyn Methodist Hospital,30,49,8,31
185,8/15/2016 12:00:00 AM,Brooklyn Methodist Hospital,6,64,10,32
186,8/16/2016 12:00:00 AM,Brooklyn Methodist Hospital,16,47,17,42
187,8/17/2016 12:00:00 AM,Brooklyn Methodist Hospital,0,38,7,13
188,8/18/2016 12:00:00 AM,Brooklyn Methodist Hospital,16,54,12,36
189,8/19/2016 12:00:00 AM,Brooklyn Methodist Hospital,38,74,15,39
190,8/20/2016 12:00:00 AM,Brooklyn Methodist Hospital,33,51,15,37
191,8/21/2016 12:00:00 AM,Brooklyn Methodist Hospital,32,44,10,22
192,8/22/2016 12:00:00 AM,Brooklyn Methodist Hospital,26,31,6,12
193,8/23/2016 12:00:00 AM,Brooklyn Methodist Hospital,14,61,10,22
194,8/24/2016 12:00:00 AM,Brooklyn Methodist Hospital,3,100,17,41
195,8/25/2016 12:00:00 AM,Brooklyn Methodist Hospital,26,61,20,43
196,8/26/2016 12:00:00 AM,Brooklyn Methodist Hospital,55,44,16,42
197,8/27/2016 12:00:00 AM,Brooklyn Methodist Hospital,35,44,12,29
198,8/28/2016 12:00:00 AM,Brooklyn Methodist Hospital,23,51,11,28
199,8/29/2016 12:00:00 AM,Brooklyn Methodist Hospital,19,46,11,23
200,8/30/2016 12:00:00 AM,Brooklyn Methodist Hospital,1,54,10,27
201,8/31/2016 12:00:00 AM,Brooklyn Methodist Hospital,8,77,18,44
202,9/1/2016 12:00:00 AM,Brooklyn Methodist Hospital,25,39,15,53
203,9/2/2016 12:00:00 AM,Brooklyn Methodist Hospital,1,30,6,19
204,9/3/2016 12:00:00 AM,Brooklyn Methodist Hospital,27,31,9,27
205,9/4/2016 12:00:00 AM,Brooklyn Methodist Hospital,2,34,7,19
206,9/5/2016 12:00:00 AM,Brooklyn Methodist Hospital,7,33,7,18
207,9/6/2016 12:00:00 AM,Brooklyn Methodist Hospital,1,31,7,37
208,9/7/2016 12:00:00 AM,Brooklyn Methodist Hospital,22,39,9,26
209,9/8/2016 12:00:00 AM,Brooklyn Methodist Hospital,18,97,23,56
210,9/9/2016 12:00:00 AM,Brooklyn Methodist Hospital,22,64,14,52
211,9/10/2016 12:00:00 AM,Brooklyn Methodist Hospital,9,67,20,62
212,9/11/2016 12:00:00 AM,Brooklyn Methodist Hospital,2,35,10,28
213,9/12/2016 12:00:00 AM,Brooklyn Methodist Hospital,7,37,7,18
214,9/13/2016 12:00:00 AM,Brooklyn Methodist Hospital,32,44,15,24
215,9/14/2016 12:00:00 AM,Brooklyn Methodist Hospital,37,87,16,39
216,9/15/2016 12:00:00 AM,Brooklyn Methodist Hospital,25,34,4,15
217,9/16/2016 12:00:00 AM,Brooklyn Methodist Hospital,18,38,9,29
218,9/17/2016 12:00:00 AM,Brooklyn Methodist Hospital,48,34,10,19
219,9/18/2016 12:00:00 AM,Brooklyn Methodist Hospital,38,31,12,34
220,9/19/2016 12:00:00 AM,Brooklyn Methodist Hospital,26,25,11,28
221,9/20/2016 12:00:00 AM,Brooklyn Methodist Hospital,9,34,12,32
222,9/21/2016 12:00:00 AM,Brooklyn Methodist Hospital,8,46,13,35
223,9/22/2016 12:00:00 AM,Brooklyn Methodist Hospital,5,54,12,31
224,9/23/2016 12:00:00 AM,Brooklyn Methodist Hospital,18,93,21,49
225,9/24/2016 12:00:00 AM,Brooklyn Methodist Hospital,21,31,6,15
226,9/25/2016 12:00:00 AM,Brooklyn Methodist Hospital,23,33,5,18
227,9/26/2016 12:00:00 AM,Brooklyn Methodist Hospital,44,44,10,21
228,9/27/2016 12:00:00 AM,Brooklyn Methodist Hospital,29,39,11,31
229,9/28/2016 12:00:00 AM,Brooklyn Methodist Hospital,38,30,13,34
230,9/29/2016 12:00:00 AM,Brooklyn Methodist Hospital,3,29,11,22
231,9/30/2016 12:00:00 AM,Brooklyn Methodist Hospital,5,23,8,22
232,10/1/2016 12:00:00 AM,Brooklyn Methodist Hospital,7,22,3,13
233,10/2/2016 12:00:00 AM,Brooklyn Methodist Hospital,6,17,7,27
234,10/3/2016 12:00:00 AM,Brooklyn Methodist Hospital,5,29,16,52
235,10/4/2016 12:00:00 AM,Brooklyn Methodist Hospital,49,28,10,30
236,10/5/2016 12:00:00 AM,Brooklyn Methodist Hospital,29,31,12,27
237,10/6/2016 12:00:00 AM,Brooklyn Methodist Hospital,6,41,21,41
238,10/7/2016 12:00:00 AM,Brooklyn Methodist Hospital,23,48,23,47
239,10/8/2016 12:00:00 AM,Brooklyn Methodist Hospital,4,26,12,36
240,10/9/2016 12:00:00 AM,Brooklyn Methodist Hospital,23,21,6,16
241,10/10/2016 12:00:00 AM,Brooklyn Methodist Hospital,15,31,5,19
242,10/11/2016 12:00:00 AM,Brooklyn Methodist Hospital,35,27,9,25
243,10/12/2016 12:00:00 AM,Brooklyn Methodist Hospital,51,32,12,35
244,10/13/2016 12:00:00 AM,Brooklyn Methodist Hospital,11,23,16,38
245,10/14/2016 12:00:00 AM,Brooklyn Methodist Hospital,10,28,7,21
246,10/15/2016 12:00:00 AM,Brooklyn Methodist Hospital,34,39,8,22
247,10/16/2016 12:00:00 AM,Brooklyn Methodist Hospital,56,40,13,33
248,10/17/2016 12:00:00 AM,Brooklyn Methodist Hospital,3,45,22,58
249,10/18/2016 12:00:00 AM,Brooklyn Methodist Hospital,21,43,30,63
250,10/19/2016 12:00:00 AM,Brooklyn Methodist Hospital,16,40,15,39
251,10/20/2016 12:00:00 AM,Brooklyn Methodist Hospital,58,33,26,63
252,10/21/2016 12:00:00 AM,Brooklyn Methodist Hospital,47,23,NA,37
253,10/22/2016 12:00:00 AM,Brooklyn Methodist Hospital,10,23,3,15
254,10/23/2016 12:00:00 AM,Brooklyn Methodist Hospital,46,31,6,24
255,10/24/2016 12:00:00 AM,Brooklyn Methodist Hospital,23,32,9,32
256,10/25/2016 12:00:00 AM,Brooklyn Methodist Hospital,8,25,6,32
257,10/26/2016 12:00:00 AM,Brooklyn Methodist Hospital,4,27,9,19
258,10/27/2016 12:00:00 AM,Brooklyn Methodist Hospital,3,33,7,27
259,10/28/2016 12:00:00 AM,Brooklyn Methodist Hospital,9,24,5,20
260,10/29/2016 12:00:00 AM,Brooklyn Methodist Hospital,42,32,13,36
261,10/30/2016 12:00:00 AM,Brooklyn Methodist Hospital,60,39,17,56
262,10/31/2016 12:00:00 AM,Brooklyn Methodist Hospital,47,26,5,20
263,11/1/2016 12:00:00 AM,Brooklyn Methodist Hospital,40,31,12,39
264,11/2/2016 12:00:00 AM,Brooklyn Methodist Hospital,32,21,23,52
265,11/3/2016 12:00:00 AM,Brooklyn Methodist Hospital,9,30,28,60
266,11/4/2016 12:00:00 AM,Brooklyn Methodist Hospital,2,31,6,24
267,11/5/2016 12:00:00 AM,Brooklyn Methodist Hospital,9,29,9,34
268,11/6/2016 12:00:00 AM,Brooklyn Methodist Hospital,32,28,6,26
269,11/7/2016 12:00:00 AM,Brooklyn Methodist Hospital,38,23,7,29
270,11/8/2016 12:00:00 AM,Brooklyn Methodist Hospital,14,24,19,47
271,11/9/2016 12:00:00 AM,Brooklyn Methodist Hospital,6,19,16,56
272,11/10/2016 12:00:00 AM,Brooklyn Methodist Hospital,17,26,6,24
273,11/11/2016 12:00:00 AM,Brooklyn Methodist Hospital,18,31,9,31
274,11/12/2016 12:00:00 AM,Brooklyn Methodist Hospital,9,32,6,25
275,11/13/2016 12:00:00 AM,Brooklyn Methodist Hospital,16,36,9,45
276,11/14/2016 12:00:00 AM,Brooklyn Methodist Hospital,1,26,20,53
277,11/15/2016 12:00:00 AM,Brooklyn Methodist Hospital,3,26,10,41
278,11/16/2016 12:00:00 AM,Brooklyn Methodist Hospital,14,33,17,53
279,11/17/2016 12:00:00 AM,Brooklyn Methodist Hospital,27,31,15,54
280,11/18/2016 12:00:00 AM,Brooklyn Methodist Hospital,24,22,14,62
281,11/19/2016 12:00:00 AM,Brooklyn Methodist Hospital,8,29,15,45
282,11/20/2016 12:00:00 AM,Brooklyn Methodist Hospital,15,39,NA,18
283,11/21/2016 12:00:00 AM,Brooklyn Methodist Hospital,6,35,2,23
284,11/22/2016 12:00:00 AM,Brooklyn Methodist Hospital,17,31,3,33
285,11/23/2016 12:00:00 AM,Brooklyn Methodist Hospital,2,31,6,33
286,11/24/2016 12:00:00 AM,Brooklyn Methodist Hospital,13,20,9,40
287,11/25/2016 12:00:00 AM,Brooklyn Methodist Hospital,24,7,27,70
288,11/26/2016 12:00:00 AM,Brooklyn Methodist Hospital,12,19,10,42
289,11/27/2016 12:00:00 AM,Brooklyn Methodist Hospital,27,35,4,29
290,11/28/2016 12:00:00 AM,Brooklyn Methodist Hospital,17,31,14,45
291,11/29/2016 12:00:00 AM,Brooklyn Methodist Hospital,1,33,12,37
292,11/30/2016 12:00:00 AM,Brooklyn Methodist Hospital,4,24,15,49
293,12/1/2016 12:00:00 AM,Brooklyn Methodist Hospital,15,24,6,27
294,12/2/2016 12:00:00 AM,Brooklyn Methodist Hospital,3,23,5,35
295,12/3/2016 12:00:00 AM,Brooklyn Methodist Hospital,9,42,4,31
296,12/4/2016 12:00:00 AM,Brooklyn Methodist Hospital,19,39,4,36
297,12/5/2016 12:00:00 AM,Brooklyn Methodist Hospital,1,19,8,41
298,12/6/2016 12:00:00 AM,Brooklyn Methodist Hospital,2,25,9,44
299,12/7/2016 12:00:00 AM,Brooklyn Methodist Hospital,22,15,9,59
300,12/8/2016 12:00:00 AM,Brooklyn Methodist Hospital,4,26,13,58
301,12/9/2016 12:00:00 AM,Brooklyn Methodist Hospital,11,31,7,35
302,12/10/2016 12:00:00 AM,Brooklyn Methodist Hospital,1,29,7,42
303,12/11/2016 12:00:00 AM,Brooklyn Methodist Hospital,3,19,12,38
304,12/12/2016 12:00:00 AM,Brooklyn Methodist Hospital,2,17,13,52
305,12/13/2016 12:00:00 AM,Brooklyn Methodist Hospital,3,17,16,54
306,12/14/2016 12:00:00 AM,Brooklyn Methodist Hospital,22,26,17,51
307,12/15/2016 12:00:00 AM,Brooklyn Methodist Hospital,23,31,9,45
308,12/16/2016 12:00:00 AM,Brooklyn Methodist Hospital,13,24,14,49
309,12/17/2016 12:00:00 AM,Brooklyn Methodist Hospital,26,9,13,49
310,12/18/2016 12:00:00 AM,Brooklyn Methodist Hospital,5,30,11,57
311,12/19/2016 12:00:00 AM,Brooklyn Methodist Hospital,23,33,5,38
312,12/20/2016 12:00:00 AM,Brooklyn Methodist Hospital,4,20,17,43
313,12/21/2016 12:00:00 AM,Brooklyn Methodist Hospital,0,13,24,62
314,12/22/2016 12:00:00 AM,Brooklyn Methodist Hospital,3,23,21,57
315,12/23/2016 12:00:00 AM,Brooklyn Methodist Hospital,20,29,13,50
316,12/24/2016 12:00:00 AM,Brooklyn Methodist Hospital,3,25,14,53
317,12/25/2016 12:00:00 AM,Brooklyn Methodist Hospital,16,31,6,49
318,12/26/2016 12:00:00 AM,Brooklyn Methodist Hospital,32,27,9,41
319,12/27/2016 12:00:00 AM,Brooklyn Methodist Hospital,4,27,NA,44
320,12/28/2016 12:00:00 AM,Brooklyn Methodist Hospital,5,25,NA,42
321,12/29/2016 12:00:00 AM,Brooklyn Methodist Hospital,2,22,11,44
322,12/30/2016 12:00:00 AM,Brooklyn Methodist Hospital,7,25,6,45
323,12/31/2016 12:00:00 AM,Brooklyn Methodist Hospital,19,29,9,42
324,1/1/2017 12:00:00 AM,Brooklyn Methodist Hospital,7,31,10,59
325,1/2/2017 12:00:00 AM,Brooklyn Methodist Hospital,29,27,11,57
326,1/3/2017 12:00:00 AM,Brooklyn Methodist Hospital,21,28,4,43
327,1/4/2017 12:00:00 AM,Brooklyn Methodist Hospital,31,30,9,46
328,1/5/2017 12:00:00 AM,Brooklyn Methodist Hospital,6,29,10,49
329,1/6/2017 12:00:00 AM,Brooklyn Methodist Hospital,2,29,13,52
330,1/7/2017 12:00:00 AM,Brooklyn Methodist Hospital,4,27,10,53
331,1/8/2017 12:00:00 AM,Brooklyn Methodist Hospital,11,31,9,54
332,1/9/2017 12:00:00 AM,Brooklyn Methodist Hospital,25,19,14,50
333,1/10/2017 12:00:00 AM,Brooklyn Methodist Hospital,2,26,19,53
334,1/11/2017 12:00:00 AM,Brooklyn Methodist Hospital,22,20,17,52
335,1/12/2017 12:00:00 AM,Brooklyn Methodist Hospital,22,24,15,56
336,1/13/2017 12:00:00 AM,Brooklyn Methodist Hospital,2,35,9,44
337,1/14/2017 12:00:00 AM,Brooklyn Methodist Hospital,13,29,9,44
338,1/15/2017 12:00:00 AM,Brooklyn Methodist Hospital,27,30,16,52
339,1/16/2017 12:00:00 AM,Brooklyn Methodist Hospital,0,19,28,59
