skill,Cloud Computing,Accelerated Project Results,Analytics and business intelligence,Application Modernization,Big Data,Collaboration technologies workflow,CRM,DevOps,ERP Applications,IT department leadership in innovation.using new technology,Mobile technologies,Security,Virtualization,Web 2.0,Augmented Reality,Wearable Computing,3D Printing,Personal Cloud,Digital Banking,Smart Cities,Telematics,Internet of Things,Desktop Applications Specialist,Leadership,Technical Analyst,Desktop Security Specialist,Network Engineer,Project Management,Database Specialist,Legacy Programmer,Systems Engineer,Web Developer
analytics,0,0,0,0,0.052631579,0,0,0.072727273,0,0,0.008819539,0,0,0,0,0,0,0,0.014084507,0,0,0,0,0,0,0,0,0,0,0,0,0
analytics_business_intelligence,0,0,0.038997214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analytics_solutions,0.002298851,0,0,0,0.016194332,0,0,0,0,0.008264463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analytic_capabilities,0.006896552,0,0,0,0,0,0,0,0,0.024793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analyze,0.006896552,0.002873563,0.008356546,0.086206897,0.004048583,0,0.004793864,0,0.054545455,0.024793388,0.001017639,0.000768246,0,0.021276596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analyze_design_develop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070422535,0,0,0,0,0,0,0,0,0,0,0,0,0
andar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025641026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andengine,0,0,0,0,0,0,0,0,0,0,0.001696065,0,0,0,0.005128205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
android,0.317241379,0,0,0.103448276,0,0.013719512,0,0,0,0,0.862957938,0,0.050691244,0,1,0.086956522,0,0.066666667,0.14084507,0,0.047619048,0,0.003460208,0.004950495,0,0,0,0,0,0.001876173,0,0.028037383
android-contentprovider,0,0,0,0,0,0,0,0,0,0,0,0.002048656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
android-gcm,0.022988506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
android-ndk,0,0,0,0,0,0,0,0,0,0,0,0.002304738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
android-sdk-2.2,0,0,0,0,0,0,0,0,0,0,0.003731343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
android-softkeyboard,0,0,0,0,0,0,0,0,0,0,0.002035278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
android-webview,0,0,0,0,0,0,0,0,0,0,0.002035278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
android-widget,0,0,0,0,0,0,0,0,0,0,0.001696065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
android_platforms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084507042,0,0,0,0,0,0,0,0,0,0,0,0,0
angle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005128205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
angularjs,0,0,0,0,0,0,0,0,0,0,0.008480326,0.005121639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012820513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ant,0,0,0,0,0,0,0,0.036363636,0,0,0,0.00128041,0,0,0,0,0,0,0,0,0.063492063,0,0.005190311,0.004950495,0.0625,0.090909091,0,0.004524887,0.022222222,0.005628518,0,0.219626168
anti-hacking,0,0,0,0,0,0,0,0,0,0,0,0.004865557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apache,0.029885057,0,0.013927577,0,0.032388664,0,0,0.363636364,0,0,0.013568521,0.082714469,0.032258065,0.063829787,0,0,0,0,0,0,0,0,0.012110727,0.012376238,0.046875,0.318181819,0,0.004524887,0.033333334,0.004690432,0.173469388,0.105140187
apex-code,0.013793103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
api,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apk,0,0,0,0,0,0,0,0,0,0,0.003052917,0.004097311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
app-store,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005128205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appcelerator,0,0,0,0,0,0,0,0,0,0,0.004070556,0,0,0,0.005128205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appfabric,0,0,0,0,0,0.010670732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appharbor,0.013793103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appixia,0,0,0,0,0,0,0,0,0,0,0.001696065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005128205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apple-push-notifications,0,0,0,0,0,0,0,0,0,0,0.001696065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
application_development,0.002298851,0,0,0.155172414,0,0,0.001917546,0,0,0.008264463,0.001356852,0.000256082,0,0.042553191,0.002564103,0,0.142857143,0.066666667,0.014084507,0,0.111111111,0.086956522,0.001730104,0.017821782,0.09375,0.090909091,0.004081633,0.006334842,0.035555556,0.004127501,0,0.174766355
application_integration,0.002298851,0,0,0,0,0,0.000958773,0,0,0.008264463,0.000339213,0.000256082,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818182,0.224489796,0,0,0,0,0
application_modernization,0,0,0,0.344827586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apply_technology_standardization,0.006896552,0,0,0,0,0,0,0,0,0.024793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
approval,0,0,0,0,0,0.035060976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apps_prototypes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070422535,0,0,0,0,0,0,0,0,0,0,0,0,0
architect,0.009195402,0,0,0.172413793,0.008097166,0,0,0.018181818,0.018181818,0.033057851,0.001017639,0.000256082,0.01843318,0.042553191,0,0,0,0,0,0.047619048,0,0.217391304,0,0,0,0,0,0.013574661,0.022222222,0.005628518,0,0
architecture_experience,0.094252874,0.057471264,0.013927577,0.086206897,0.004048583,0.038109756,0,0.036363636,0,0.008264463,0,0.019462228,0.00921659,0.021276596,0.01025641,0.086956522,0,0,0.211267606,0.285714286,0.238095238,0.304347826,0,0,0,0,0,0,0,0,0,0
architecture_soa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14084507,0,0,0,0,0,0,0,0,0,0,0,0,0
articulate,0.006896552,0,0.002785515,0.051724138,0,0.00304878,0.000958773,0,0,0.024793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
artoolkit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048717949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aslr,0,0,0,0,0,0,0,0,0,0,0,0.001792574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asmx,0,0,0,0,0,0,0,0,0,0,0,0.003072983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asp,0.002298851,0,0,0.086206897,0,0,0,0,0,0.008264463,0.001696065,0.013572343,0,0.085106383,0,0,0,0,0,0,0,0,0.017301038,0.024752475,0.25,0.272727273,0,0.036199095,0.222222222,0.018136335,0,0.242990654
asp.net,0.202298851,0.014367816,0.097493036,0,0,0.125,0.022051774,0,0,0,0.139077341,0.595134443,0.032258065,0,0,0,0,0,0,0,0,0,0.027681661,0.034653465,0.03125,0.181818182,0,0.013574661,0.177777778,0.026891807,0,0.275700935
aspectj,0,0,0,0,0,0,0,0,0,0,0,0.001792574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
assemblies,0,0,0,0,0,0,0,0,0,0,0,0.006145967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
assembly,0,0,0,0,0,0,0,0,0,0,0,0,0.023041475,0,0,0,0,0,0,0,0,0,0.019031142,0.02970297,0,0.090909091,0,0,0,0.003752345,0,0.014018692
assessment_review,0.006896552,0,0,0,0,0,0,0,0,0.024793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
associate,0,0.011494253,0.005571031,0,0,0,0.000958773,0,0,0,0,0.000256082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
assume_sole_independent_responsibility,0.006896552,0,0,0,0,0,0,0,0,0.024793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atk4,0,0.017241379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
attention_detail,0.006896552,0.002873563,0.002785515,0.017241379,0,0.00304878,0.002876318,0,0.018181818,0.024793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audiences_experience,0.006896552,0,0.002785515,0,0,0,0,0,0,0.024793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
audio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007692308,0.130434783,0,0,0,0,0.031746032,0,0.005767012,0.004950495,0.010416667,0.151515152,0,0,0,0.001042188,0,0.004672897
audit,0,0,0,0,0,0,0,0,0,0,0,0.003585147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aurasma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005128205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
authentication,0,0,0,0.034482759,0,0,0,0,0,0,0,0.001024328,0,0,0,0,0,0,0,0,0.079365079,0.043478261,0.00461361,0.00660066,0,0.151515152,0.278911565,0,0,0.001042188,0,0
authlogic,0,0,0,0,0,0,0,0,0,0,0,0.002816901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
authorization,0,0,0,0,0,0,0,0,0,0,0.001696065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
automated_test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002564103,0,0,0.133333333,0,0,0.031746032,0,0,0,0,0,0,0,0,0,0,0
automation,0,0.011494253,0.005571031,0.017241379,0,0,0,0.836363636,0,0,0,0,0.00921659,0,0,0,0.142857143,0.933333333,0.014084507,0,0.015873016,0.173913043,0.006055363,0.012376238,0,0,0,0,0.011111111,0.007191995,0,0.009345795
autoscaling,0.016091954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
away3d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
axapta,0,0,0,0,0,0,0,0,0,0,0,0.00128041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
axis,0,0,0,0,0,0,0,0,0,0,0,0.004097311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
azman,0,0,0,0,0,0,0,0,0,0,0,0.003072983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
azure,1,0,0,0,0,0,0,0,0,0,0.010176391,0.017413572,0.02764977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
azure-configuration,0.013793103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
azure-mobile-services,0,0,0,0,0,0,0,0,0,0,0.002035278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
azure-storage-blobs,0.011494253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
azure-storage-tables,0.011494253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
azure-virtual-machine,0.013793103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
azure-web-roles,0.032183908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
azure-worker-roles,0.016091954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backbone.js,0,0,0,0,0,0,0,0,0,0,0.007123474,0.004097311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backend,0,0,0,0,0,0,0,0,0,0,0,0.002816901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
background_investigation,0,0,0.002785515,0,0.004048583,0,0,0,0,0,0.000339213,0.000256082,0.004608295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backup,0,0,0,0,0,0,0,0,0,0,0,0,0.023041475,0,0,0,0,0,0,0,0,0,0.0128522,0.015558699,0.040178571,0.142857143,0.049562682,0.001939237,0.101587302,0.006164567,0.034985423,0.00200267
bada,0,0,0,0,0,0,0,0,0,0,0.003731343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
banking,0,0,0,0,0,0,0,0.018181818,0,0,0.001696065,0.001792574,0,0,0,0,0,0,0.76056338,0,0,0,0.007497117,0.01650165,0,0,0.027210885,0.012066365,0.02962963,0.011882426,0,0.014018692
banking_industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098591549,0,0,0,0,0,0,0,0,0,0,0,0,0
banking_software,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154929577,0,0,0,0,0,0,0,0,0,0,0,0,0
banking_software_financial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154929577,0,0,0,0,0,0,0,0,0,0,0,0,0
banking_technology_platform,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309859155,0,0,0,0,0,0,0,0,0,0,0,0,0
bash,0,0,0,0,0,0,0,0.254545455,0,0,0,0.011011524,0,0,0,0,0,0,0,0,0,0,0.006920415,0.00990099,0,0.181818182,0,0,0.022222222,0.003752345,0.163265306,0.023364486
basic-authentication,0,0,0,0,0,0,0,0,0,0,0,0.004353393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bbcode,0,0,0,0,0,0,0,0,0,0,0,0.003072983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bcrypt,0,0,0,0,0,0,0,0,0,0,0,0.01177977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bdd,0,0.025862069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bearing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005128205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big_data,0,0,0,0,0,0,0,0.054545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260869565,0,0,0,0,0,0,0,0,0,0
biometrics,0,0,0,0,0,0,0,0,0,0,0,0.001536492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
